Day,Eto,P-RO,I/fw,1 - fc,fw,few,Kcb,Dstart,Kr,Ke,E_few,DPe,Dei,E,Kc,Etc
1,4.5,0,50,0.92,0.8,0.8,0.3,0,1,0.91,5.1,32,5,4.1,1.21,5.5
2,5,0,0,0.91,0.8,0.8,0.31,5,1,0.9,5.6,0,11,4.5,1.21,6.1
3,3.9,0,0,0.91,0.8,0.8,0.32,11,0.7,0.62,3,0,14,2.8,1.04,4
4,4.2,0,0,0.9,0.8,0.8,0.33,14,0.4,0.35,1.8,0,16,1.5,0.7,2.9
5,4.8,0,0,0.89,0.8,0.8,0.34,16,0.2,0.18,1.1,0,17,0.8,0.52,2.5
6,2.7,6,0,0.89,1,0.89,0.36,11,0.75,0.64,2,0,13,1.7,1,2.7
7,5.8,0,0,0.88,1,0.88,0.37,13,0.53,0.45,3,0,16,2.6,0.82,4.7
8,5.1,0,0,0.87,1,0.87,0.38,16,0.2,0.17,1,0,17,0.9,0.55,2.8
9,4.7,0,0,0.87,1,0.87,0.39,17,0.09,0.08,0.4,0,18,0.4,0.47,2.2
10,5.2,0,0,0.86,1,0.86,0.4,18,0.05,0.04,0.2,0,18,0.2,0.44,2.3
